Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom
B172399,9/20/17,4/5/18,50000,FALSE,FALSE,1,400 Block of Liberty Street,94114,8,Castro/Upper Market,"(37.75698261905884, -122.4321215957224)"
B172401,9/20/17,11/29/17,10000,FALSE,FALSE,1,1000 Block of Eddy Street,94109,5,Western Addition,"(37.782321233948245, -122.42576330336104)"
B172453,9/25/17,1/26/18,31849,FALSE,FALSE,4,1200 Block of Ortega Street,94122,4,Sunset/Parkside,"(37.75240869461712, -122.47685744334778)"
B172455,9/25/17,10/23/17,16750,FALSE,FALSE,3,1900 Block of 16th Avenue,94116,7,Inner Sunset,"(37.7515825394549, -122.47313694938376)"
B172457,9/27/17,11/13/17,17000,FALSE,TRUE,1,0 Block of Fair Avenue,94110,9,Bernal Heights,"(37.74520461050452, -122.41907086532174)"
B172460,,9/28/17,40000,FALSE,TRUE,2,1800 Block of Anza Street,94118,1,Inner Richmond,"(37.77897641779782, -122.46789407516529)"
B172461,,9/28/17,11000,FALSE,TRUE,1,3400 Block of Cabrillo Street,94121,1,Outer Richmond,"(37.77386737514161, -122.49557322465877)"
B172516,9/29/17,12/5/17,35000,FALSE,TRUE,4,500 Block of Shotwell Street,94110,9,Mission,"(37.75962769313469, -122.41592301847783)"
B172519,10/2/17,11/27/17,6800,FALSE,TRUE,1,900 Block of Dartmouth Street,94134,10,McLaren Park,"(37.71925670944226, -122.40880298230634)"
B172520,10/2/17,12/20/17,19500,FALSE,FALSE,2,1000 Block of 14th Street,94114,8,Castro/Upper Market,"(37.767135531593745, -122.43774315786432)"
B172521,10/2/17,12/26/17,10203.48,FALSE,TRUE,2,1700 Block of Steiner Street,94115,5,Japantown,"(37.785418772971276, -122.43475548523323)"
