,lat.,long.,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
1008,37.770008,-122.446934,1,nearest_street,600,Ashbury St,San Francisco,CA,San Francisco County,94117
1009,37.77541,-122.46298,1,rooftop,703,5th Ave,San Francisco,CA,San Francisco County,94118
1010,37.77541,-122.46298,1,rooftop,703,5th Ave,San Francisco,CA,San Francisco County,94118
1011,37.764311,-122.454217,1,nearest_street,1400,Willard St,San Francisco,CA,San Francisco County,94117
1015,37.772108,-122.430434,1,nearest_street,300,Fillmore St,San Francisco,CA,San Francisco County,94117
1016,37.794243,-122.42817,1,rooftop,2000,Pacific Ave,San Francisco,CA,San Francisco County,94109
1018,37.780321,-122.493346,1,rooftop,472,33rd Ave,San Francisco,CA,San Francisco County,94121
1022,37.749391,-122.427628,1,rooftop,112,Clipper St,San Francisco,CA,San Francisco County,94114
1023,37.803969,-122.435031,1,rooftop,1690,N Point St,San Francisco,CA,San Francisco County,94123
1028,37.789046,-122.417541,1,rooftop,1209,Bush St,San Francisco,CA,San Francisco County,94109
1029,37.789046,-122.417541,1,rooftop,1209,Bush St,San Francisco,CA,San Francisco County,94109
1030,37.739869,-122.424147,1,nearest_street,5,Randall St,San Francisco,CA,San Francisco County,94131
1031,37.787335,-122.463662,1,rooftop,66,5th Ave,San Francisco,CA,San Francisco County,94118
1035,37.749374,-122.427649,1,rooftop,112,Clipper St,San Francisco,CA,San Francisco County,94114
1037,37.723347,-122.399652,1,rooftop,449,Paul Ave,San Francisco,CA,San Francisco County,94124
1038,37.769362,-122.450901,1,rooftop,1715,Haight St,San Francisco,CA,San Francisco County,94117
1039,37.78518,-122.435781,1,rooftop,2000,Post St,San Francisco,CA,San Francisco County,94115
1040,37.77253,-122.39312,1,rooftop,690,Long Bridge St,San Francisco,CA,San Francisco County,94158
1043,37.77526,-122.424388,1,rooftop,331,Octavia St,San Francisco,CA,San Francisco County,94102
1046,37.789422,-122.437319,1,nearest_street,2100,Pierce St,San Francisco,CA,San Francisco County,94115
1047,37.757903,-122.466958,1,rooftop,1617,10th Ave,San Francisco,CA,San Francisco County,94122
1053,37.769428,-122.403979,1,nearest_street,2,Division St,San Francisco,CA,San Francisco County,94103
1056,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1057,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1058,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1060,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1062,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1064,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1067,37.772434,-122.39726,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1069,37.787295,-122.392719,1,rooftop,350,Fremont St,San Francisco,CA,San Francisco County,94105
1076,37.787295,-122.392719,1,rooftop,350,Fremont St,San Francisco,CA,San Francisco County,94105
1077,37.752242,-122.444618,1,rooftop,38,Gardenside Dr,San Francisco,CA,San Francisco County,94131
1079,37.769428,-122.403979,1,nearest_street,2,Division St,San Francisco,CA,San Francisco County,94103
1083,37.75954,-122.462864,1,rooftop,3,Locksley Ave,San Francisco,CA,San Francisco County,94122
1085,37.787836,-122.393396,1,rooftop,353,Folsom St,San Francisco,CA,San Francisco County,94105
1086,37.7694,-122.3867,1,rooftop,550,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158
1087,37.7694,-122.3867,1,rooftop,550,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158
1088,37.75029,-122.434216,1,rooftop,1400,Castro St,San Francisco,CA,San Francisco County,94114
1089,37.766726,-122.438291,1,nearest_street,144,Buena Vista Ter,San Francisco,CA,San Francisco County,94117
1093,37.7195,-122.4411,1,rooftop,20,Junior Ter,San Francisco,CA,San Francisco County,94112
1094,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1095,37.7694,-122.3867,1,rooftop,550,Terry A Francois Blvd,San Francisco,CA,San Francisco County,94158
1098,37.7864,-122.3892,1,rooftop,501,Beale St,San Francisco,CA,San Francisco County,94105
1099,37.745296,-122.440088,1,nearest_street,5200,Diamond Heights Blvd,San Francisco,CA,San Francisco County,94131
1102,37.77351,-122.409599,1,rooftop,350,8th St,San Francisco,CA,San Francisco County,94103
1104,37.796014,-122.430385,1,rooftop,2000,Vallejo St,San Francisco,CA,San Francisco County,94123
1105,37.7917,-122.4186,1,rooftop,1577,Sacramento St,San Francisco,CA,San Francisco County,94109
1106,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1107,37.781111,-122.462139,1,nearest_street,4000,Geary Blvd,San Francisco,CA,San Francisco County,94118
1109,37.788845,-122.419161,1,rooftop,1300,Bush St,San Francisco,CA,San Francisco County,94109
1113,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1114,37.78983,-122.418843,1,nearest_street,1300,Larkin St,San Francisco,CA,San Francisco County,94109
1115,37.769239,-122.420247,1,rooftop,1742,Mission St,San Francisco,CA,San Francisco County,94103
1116,37.772721,-122.391183,1,rooftop,1201,4th St,San Francisco,CA,San Francisco County,94158
1117,37.748362,-122.429346,1,nearest_street,4000,26th St,San Francisco,CA,San Francisco County,94131
1119,37.790459,-122.429092,1,nearest_street,2200,Sacramento St,San Francisco,CA,San Francisco County,94115
1120,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1122,37.721206,-122.483023,1,nearest_street,2,Vidal Dr,San Francisco,CA,San Francisco County,94132
1124,37.723347,-122.399652,1,rooftop,449,Paul Ave,San Francisco,CA,San Francisco County,94124
1128,37.785209,-122.417505,1,rooftop,784,Ofarrell St,San Francisco,CA,San Francisco County,94109
1129,37.753939,-122.440914,1,rooftop,2,Hoffman Ave,San Francisco,CA,San Francisco County,94114
1130,37.787424,-122.421154,1,rooftop,1285,Sutter St,San Francisco,CA,San Francisco County,94109
1132,37.77208,-122.445717,1,nearest_street,1000,Masonic Ave,San Francisco,CA,San Francisco County,94117
1135,37.787424,-122.421154,1,rooftop,1285,Sutter St,San Francisco,CA,San Francisco County,94109
1137,37.757754,-122.393133,1,rooftop,699,Pennsylvania Ave,San Francisco,CA,San Francisco County,94107
1139,37.793428,-122.26913,1,rooftop,202,Madison St,Oakland,CA,Alameda County,94607
1141,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1142,37.780917,-122.399457,1,rooftop,788,Harrison St,San Francisco,CA,San Francisco County,94107
1144,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1145,37.763529,-122.474016,1,rooftop,1301,16th Ave,San Francisco,CA,San Francisco County,94122
1146,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1148,37.792507,-122.408767,1,rooftop,105,Miles St,San Francisco,CA,San Francisco County,94108
1149,37.75124,-122.425032,1,rooftop,1149,Dolores St,San Francisco,CA,San Francisco County,94110
1150,37.776541,-122.417501,1,nearest_street,1401,Market St,San Francisco,CA,San Francisco County,94103
1151,37.754571,-122.401589,1,nearest_street,2200,23rd St,San Francisco,CA,San Francisco County,94107
1154,37.744352,-122.488678,1,nearest_street,2000,Santiago St,San Francisco,CA,San Francisco County,94116
1157,37.783785,-122.39893,1,nearest_street,300,3rd St,San Francisco,CA,San Francisco County,94107
1160,37.786649,-122.413799,1,rooftop,630,Geary St,San Francisco,CA,San Francisco County,94109
1161,37.791927,-122.414209,1,rooftop,1111,Jones St,San Francisco,CA,San Francisco County,94109
1163,37.796272,-122.426893,1,nearest_street,2500,Gough St,San Francisco,CA,San Francisco County,94123
1166,37.791456,-122.392342,1,rooftop,88,Howard St,San Francisco,CA,San Francisco County,94105
1167,37.771887,-122.423334,1,rooftop,8,Valencia St,San Francisco,CA,San Francisco County,94103
1168,37.773644,-122.434128,1,rooftop,402,Pierce St,San Francisco,CA,San Francisco County,94117
1171,37.771887,-122.423334,1,rooftop,8,Valencia St,San Francisco,CA,San Francisco County,94103
1172,37.7813,-122.4167,1,rooftop,391,Golden Gate Ave,San Francisco,CA,San Francisco County,94102
1174,37.724625,-122.395926,1,rooftop,5880,3rd St,San Francisco,CA,San Francisco County,94124
1176,37.773083,-122.391187,1,rooftop,590,Mission Rock St,San Francisco,CA,San Francisco County,94158
1177,37.758343,-122.438207,1,rooftop,238,Eureka St,San Francisco,CA,San Francisco County,94114
1184,37.776619,-122.417402,1,rooftop,1415,Market St,San Francisco,CA,San Francisco County,94103
1185,37.716788,-122.475918,1,nearest_street,300,Gonzalez Dr,San Francisco,CA,San Francisco County,94132
1187,37.805786,-122.44221,1,nearest_street,501,Marina Blvd,San Francisco,CA,San Francisco County,94123
1190,37.771804,-122.426621,1,rooftop,200,Buchanan St,San Francisco,CA,San Francisco County,94102
1194,37.744352,-122.453012,1,rooftop,691,Portola Dr,San Francisco,CA,San Francisco County,94127
1195,37.784764,-122.390431,1,rooftop,501,Delancey St,San Francisco,CA,San Francisco County,94107
1196,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1197,37.7725,-122.4147,1,rooftop,245,11th St,San Francisco,CA,San Francisco County,94103
1198,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1199,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1201,37.796933,-122.429774,1,rooftop,1868,Green St,San Francisco,CA,San Francisco County,94123
1202,37.718571,-122.484778,1,nearest_street,300,Vidal Dr,San Francisco,CA,San Francisco County,94132
1204,37.794966,-122.429216,1,rooftop,1955,Broadway,San Francisco,CA,San Francisco County,94109
1205,37.794576,-122.425869,1,rooftop,1870,Pacific Ave,San Francisco,CA,San Francisco County,94109
1206,37.762166,-122.4646,1,rooftop,225,Judah St,San Francisco,CA,San Francisco County,94122
1209,37.776541,-122.417501,1,nearest_street,1401,Market St,San Francisco,CA,San Francisco County,94103
1210,37.805291,-122.435632,1,rooftop,3739,Webster St,San Francisco,CA,San Francisco County,94123
1211,37.782457,-122.475236,1,nearest_street,1500,Clement St,San Francisco,CA,San Francisco County,94118
1213,37.791727,-122.447112,1,rooftop,3193,Pacific Ave,San Francisco,CA,San Francisco County,94115
1214,37.773083,-122.391187,1,rooftop,590,Mission Rock St,San Francisco,CA,San Francisco County,94158
1216,37.761324,-122.38864,1,rooftop,2230,3rd St,San Francisco,CA,San Francisco County,94107
1217,37.761809,-122.391944,1,rooftop,690,Indiana St,San Francisco,CA,San Francisco County,94107
1218,37.7712,-122.4413,1,rooftop,1146,Haight St,San Francisco,CA,San Francisco County,94117
1219,37.774277,-122.43594,1,nearest_street,1100,Fell St,San Francisco,CA,San Francisco County,94117
1220,37.803569,-122.435416,1,rooftop,1701,N Point St,San Francisco,CA,San Francisco County,94123
1222,37.749892,-122.479312,1,rooftop,2022,22nd Ave,San Francisco,CA,San Francisco County,94116
1223,37.718119,-122.474484,1,nearest_street,42,Cambon Dr,San Francisco,CA,San Francisco County,94132
1224,37.7621,-122.3971,1,rooftop,331,Connecticut St,San Francisco,CA,San Francisco County,94107
1225,37.749923,-122.479312,1,rooftop,2014,22nd Ave,San Francisco,CA,San Francisco County,94116
1226,37.795435,-122.433469,1,nearest_street,2700,Webster St,San Francisco,CA,San Francisco County,94123
1228,37.761617,-122.422955,1,nearest_street,3561,18th St,San Francisco,CA,San Francisco County,94110
1231,37.75983,-122.42592,1,nearest_street,3700,19th St,San Francisco,CA,San Francisco County,94114
1232,37.7309,-122.3886,1,rooftop,1516,Revere Ave,San Francisco,CA,San Francisco County,94124
1233,37.80422,-122.439526,1,rooftop,106,Cervantes Blvd,San Francisco,CA,San Francisco County,94123
1234,37.784612,-122.390174,1,rooftop,501,Delancey St,San Francisco,CA,San Francisco County,94107
1236,37.787137,-122.396691,1,nearest_street,22,Tehama St,San Francisco,CA,San Francisco County,94105
1239,37.723837,-122.455916,1,rooftop,1299,Ocean Ave,San Francisco,CA,San Francisco County,94112
1240,37.723837,-122.455916,1,rooftop,1299,Ocean Ave,San Francisco,CA,San Francisco County,94112
1243,37.772721,-122.391183,1,rooftop,1201,4th St,San Francisco,CA,San Francisco County,94158
1244,37.755423,-122.432254,1,nearest_street,850,Noe St,San Francisco,CA,San Francisco County,94114
1245,37.752104,-122.420665,1,nearest_street,3400,24th St,San Francisco,CA,San Francisco County,94110
1246,37.780365,-122.505198,1,rooftop,455,44th Ave,San Francisco,CA,San Francisco County,94121
1247,37.763496,-122.418484,1,nearest_street,3250,17th St,San Francisco,CA,San Francisco County,94110
1250,37.793223,-122.41447,1,nearest_street,1300,Clay St,San Francisco,CA,San Francisco County,94109
1255,37.793223,-122.41447,1,nearest_street,1300,Clay St,San Francisco,CA,San Francisco County,94109
1260,37.765965,-122.432306,1,rooftop,2148,15th St,San Francisco,CA,San Francisco County,94114
1261,37.752045,-122.483844,1,nearest_street,1900,Ortega St,San Francisco,CA,San Francisco County,94122
1262,37.785589,-122.424967,1,rooftop,1377,Post St,San Francisco,CA,San Francisco County,94109
1263,37.785616,-122.424743,1,rooftop,1377,Post St,San Francisco,CA,San Francisco County,94109
1265,37.748362,-122.429346,1,nearest_street,4000,26th St,San Francisco,CA,San Francisco County,94131
1266,37.761536,-122.451002,1,rooftop,4925,17th St,San Francisco,CA,San Francisco County,94117
1267,37.802069,-122.414569,1,rooftop,2135,Taylor St,San Francisco,CA,San Francisco County,94133
1272,37.802069,-122.414569,1,rooftop,2135,Taylor St,San Francisco,CA,San Francisco County,94133
1273,37.771396,-122.509895,1,nearest_street,7200,Fulton St,San Francisco,CA,San Francisco County,94121
1275,37.785639,-122.444313,1,rooftop,2869,Bush St,San Francisco,CA,San Francisco County,94115
1276,37.800138,-122.403962,1,rooftop,283,Green St,San Francisco,CA,San Francisco County,94133
1277,37.745,-122.4383,1,rooftop,1422,Douglass St,San Francisco,CA,San Francisco County,94131
1278,37.721624,-122.472322,1,nearest_street,1356,Holloway Ave,San Francisco,CA,San Francisco County,94132
1279,37.785635,-122.444347,1,rooftop,2869,Bush St,San Francisco,CA,San Francisco County,94115
1280,37.761092,-122.468252,1,rooftop,1449,11th Ave,San Francisco,CA,San Francisco County,94122
1283,37.790087,-122.409357,1,rooftop,722,Bush St,San Francisco,CA,San Francisco County,94108
1284,37.791923,-122.417582,1,nearest_street,1200,Hyde St,San Francisco,CA,San Francisco County,94109
1285,37.773089,-122.396768,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1286,37.796211,-122.405143,1,nearest_street,900,Kearny St,San Francisco,CA,San Francisco County,94133
1290,37.776541,-122.417501,1,nearest_street,1401,Market St,San Francisco,CA,San Francisco County,94103
1291,37.777507,-122.433085,1,rooftop,898,Steiner St,San Francisco,CA,San Francisco County,94117
1292,37.773089,-122.396768,1,nearest_street,,I 280,San Francisco,CA,San Francisco County,94158
1294,37.728617,-122.426423,1,nearest_street,479,Silver Ave,San Francisco,CA,San Francisco County,94112
1295,37.777507,-122.433085,1,rooftop,898,Steiner St,San Francisco,CA,San Francisco County,94117
1298,37.785199,-122.419152,1,rooftop,888,Ofarrell St,San Francisco,CA,San Francisco County,94109
1301,37.77521,-122.424327,1,rooftop,330,Octavia St,San Francisco,CA,San Francisco County,94102
1302,37.7725,-122.4147,1,rooftop,245,11th St,San Francisco,CA,San Francisco County,94103
1303,37.771804,-122.426621,1,rooftop,200,Buchanan St,San Francisco,CA,San Francisco County,94102
1304,37.785635,-122.444347,1,rooftop,2869,Bush St,San Francisco,CA,San Francisco County,94115
1305,37.78317,-122.422562,1,rooftop,915,Franklin St,San Francisco,CA,San Francisco County,94109
1306,37.769428,-122.403979,1,nearest_street,2,Division St,San Francisco,CA,San Francisco County,94103
1307,37.787996,-122.393597,1,nearest_street,355,Folsom St,San Francisco,CA,San Francisco County,94105
1308,37.752377,-122.446661,1,rooftop,96,Crestline Dr,San Francisco,CA,San Francisco County,94131
1309,37.803936,-122.426756,1,nearest_street,1201,Bay St,San Francisco,CA,San Francisco County,94123
1313,37.712294,-122.446629,1,rooftop,398,Ellington Ave,San Francisco,CA,San Francisco County,94112
1315,37.776541,-122.417501,1,nearest_street,1401,Market St,San Francisco,CA,San Francisco County,94103
1317,37.772065,-122.404452,1,rooftop,875,Brannan St,San Francisco,CA,San Francisco County,94103
1318,37.724927,-122.395949,1,rooftop,5880,3rd St,San Francisco,CA,San Francisco County,94124
1323,37.772065,-122.404452,1,rooftop,875,Brannan St,San Francisco,CA,San Francisco County,94103
1324,37.785635,-122.444347,1,rooftop,2869,Bush St,San Francisco,CA,San Francisco County,94115
1326,37.78723,-122.391465,1,rooftop,400,Beale St,San Francisco,CA,San Francisco County,94105
