,lat.,long.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Unified School District Name","Unified School District LEA code","Unified School District Grade Low","Unified School District Grade High","Elementary School District Name","Elementary School District LEA code","Elementary School District Grade Low","Elementary School District Grade High","Secondary School District Name","Secondary School District LEA code","Secondary School District Grade Low","Secondary School District Grade High"
1470,37.775873,-122.408947,37.775873,-122.408947,1,nearest_street,1148,"Folsom St","San Francisco",CA,"San Francisco County",94103,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1471,37.758722,-122.446021,37.758722,-122.446021,1,nearest_street,400,"Corbett Ave","San Francisco",CA,"San Francisco County",94114,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1473,37.79468,-122.413487,37.794674,-122.41344,1,rooftop,1329,"Taylor St","San Francisco",CA,"San Francisco County",94108,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1474,37.794596,-122.414968,37.794678,-122.41503,1,rooftop,1447,"Jones St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1475,37.793483,-122.408037,37.793488,-122.408102,1,rooftop,829,"Stockton St","San Francisco",CA,"San Francisco County",94108,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1479,37.7587,-122.433,37.758737,-122.432931,1,rooftop,618,"Noe St","San Francisco",CA,"San Francisco County",94114,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1481,37.723315,-122.474289,37.723301,-122.474008,1,rooftop,87,"Denslowe Dr","San Francisco",CA,"San Francisco County",94132,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1483,37.798112,-122.442468,37.798111,-122.442467,1,nearest_street,3100,"Divisadero St","San Francisco",CA,"San Francisco County",94123,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1484,37.72495,-122.461211,37.72495,-122.46121,1,nearest_street,1801,"Ocean Ave","San Francisco",CA,"San Francisco County",94112,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1485,37.752241,-122.421813,37.752192,-122.421806,1,rooftop,3502,"24th St","San Francisco",CA,"San Francisco County",94110,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1486,37.774762,-122.432114,37.77459,-122.432339,1,rooftop,590,"Steiner St","San Francisco",CA,"San Francisco County",94117,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1487,37.788378,-122.414732,37.788235,-122.414683,1,rooftop,873,"Sutter St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1488,37.789955,-122.410399,37.790145,-122.410303,1,rooftop,700,"Mason St","San Francisco",CA,"San Francisco County",94108,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1490,37.776087,-122.468224,37.776015,-122.468061,1,rooftop,656,"10th Ave","San Francisco",CA,"San Francisco County",94118,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1492,37.778129,-122.4103,37.778227,-122.410448,1,rooftop,612,"Natoma St","San Francisco",CA,"San Francisco County",94103,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1493,37.796353,-122.426256,37.796451,-122.426541,1,rooftop,1776,"Vallejo St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1495,37.736175,-122.425603,37.736243,-122.425571,1,rooftop,45,"Richland Ave","San Francisco",CA,"San Francisco County",94110,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1496,37.7309,-122.3886,37.730995,-122.38845,1,rooftop,1516,"Revere Ave","San Francisco",CA,"San Francisco County",94124,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1499,37.799765,-122.444516,37.799765,-122.444516,1,nearest_street,2500,"Chestnut St","San Francisco",CA,"San Francisco County",94123,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1501,37.783785,-122.39893,37.783785,-122.39893,1,nearest_street,300,"3rd St","San Francisco",CA,"San Francisco County",94107,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1502,37.759423,-122.432638,37.759423,-122.432638,1,nearest_street,4000,"19th St","San Francisco",CA,"San Francisco County",94114,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1503,37.768696,-122.446668,37.768697,-122.446969,1,rooftop,715,"Ashbury St","San Francisco",CA,"San Francisco County",94117,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1507,37.738658,-122.429315,37.7388,-122.42944,1,rooftop,2,"Everson St","San Francisco",CA,"San Francisco County",94131,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1508,37.77677,-122.496185,37.776811,-122.495991,1,rooftop,642,"36th Ave","San Francisco",CA,"San Francisco County",94121,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1509,37.705231,-122.408982,37.705493,-122.409094,1,rooftop,3175,"Geneva Ave","Daly City",CA,"San Mateo County",94014,US,"San Mateo County","See elementary/secondary",,,,"Bayshore Elementary School District",0604200,KG,08,"Jefferson Union High School District",0618930,09,12
1510,37.7593,-122.4836,37.759291,-122.48364,1,rooftop,2115,"Kirkham St","San Francisco",CA,"San Francisco County",94122,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1513,37.775715,-122.497319,37.775715,-122.497319,1,nearest_street,3600,"Balboa St","San Francisco",CA,"San Francisco County",94121,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1515,37.786749,-122.414853,37.78677,-122.414618,1,rooftop,696,"Geary St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1516,37.786749,-122.414853,37.78677,-122.414618,1,rooftop,696,"Geary St","San Francisco",CA,"San Francisco County",94109,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1519,37.801328,-122.407405,37.801287,-122.407456,1,rooftop,17,"Bob Kaufman Aly","San Francisco",CA,"San Francisco County",94133,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1522,37.792472,-122.434558,37.792472,-122.434558,1,nearest_street,2400,"Jackson St","San Francisco",CA,"San Francisco County",94115,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1531,37.793015,-122.444843,37.793015,-122.444842,1,nearest_street,2900,"Broadway St","San Francisco",CA,"San Francisco County",94115,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1532,37.803969,-122.435031,37.804025,-122.434908,1,rooftop,1690,"N Point St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1538,37.799414,-122.417385,37.799414,-122.417385,1,nearest_street,2000,"Leavenworth St","San Francisco",CA,"San Francisco County",94133,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1539,37.7621,-122.3971,37.76207,-122.397136,1,rooftop,331,"Connecticut St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
